Категория;Группа;Артикул;Модель;Цена;Ссылка
"1_Электроинструмент";39_Инструменты высокой мощности;4933478306;"Акк. инструмент для обжима труб M18 ONEBLHPT-302C";228990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478310;"Акк. инструмент для обжима труб M18 ONEBLHPT-302C M-SET";283490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478307;"Акк. инструмент для обжима труб M18 ONEBLHPT-302C TH-SET";283490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478309;"Акк. инструмент для обжима труб M18 ONEBLHPT-302C U-SET";283490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478308;"Акк. инструмент для обжима труб M18 ONEBLHPT-302C V-SET";283490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933471953;"Акк. устройство для протяжки кабеля M18 FPFT-202X 36mSt Set FUEL";59990;silovoy-instrument
"1_Электроинструмент";50_Фрезеры;4933479073;"Кромочный фрезер M18 FTR8-0X";35990;drugoe
"1_Электроинструмент";51_Рубанки и рейсмусы;4933451114;"Акк. рубанок M18 BP-402C (Li-Ion4Ач)";56490;drugoe
"1_Электроинструмент";56_Прочистка труб;4933478408;"Акк. прочистная машина M18 FCSSM-0 FUEL";141490;prochistnye-mashiny
"1_Электроинструмент";56_Прочистка труб;4933478407;"Акк. прочистная машина M18 FCSSM-121 FUEL (Li-Ion 12 Ач)";164990;prochistnye-mashiny
"1_Электроинструмент";56_Прочистка труб;4933471411;"Акк. секционная прочистная машина M18FSSM-0 FUEL";237990;prochistnye-mashiny
"1_Электроинструмент";56_Прочистка труб;4933471410;"Акк. секционная прочистная машина M18FSSM-121 FUEL";261490;prochistnye-mashiny
"1_Электроинструмент";61_Диагностика и инспекция;4933471413;"Акк. канализационная инспекционная камера 36 м M18SIC36-0";539490;izmeritelnyy-instrument
"1_Электроинструмент";61_Диагностика и инспекция;4933471412;"Акк. канализационная инспекционная камера 60 м M18SIC60-0";659490;izmeritelnyy-instrument
"1_Электроинструмент";61_Диагностика и инспекция;4933471414;"Акк. монитор для канализационной инспекционной камеры M18SIM-0";233990;izmeritelnyy-instrument
"1_Электроинструмент";61_Диагностика и инспекция;4933471415;"Акк. система управления для канализационной инспекционной камеры M18SISH-0";263990;izmeritelnyy-instrument
"1_Электроинструмент";80_Прочие инструменты;4933479643;"Сумка для мачты освещения M18 HOSALC-0 Bag";5490;fonari
"1_Электроинструмент";80_Прочие инструменты;4933478601;"Акк. заклёпочник M18 ONEFPRT-0X";65490;zaklepochniki
"1_Электроинструмент";80_Прочие инструменты;4933478602;"Акк. заклёпочник M18 ONEFPRT-202X";80490;zaklepochniki
"1_Электроинструмент";05_Пилы;4933416860;"Акк. сабельная пила HD28 SX-0 ";23490;sabelnye-pily
"1_Электроинструмент";01_Дрели и шуруповерты;4932479102;"Резиновая манжета для M12FID (1 шт.)";2400;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932479100;"Резиновая манжета для M12FIR38 (1 шт.)";2000;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932478758;"Резиновый рукав для M12FIWF  ";2500;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932479098;"Резиновая манжета для M12FRAIWF38 + WF12 1 шт.";2400;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;49162767;"Резиновый чехол для M18FHIWF12-502X";3700;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932479103;"Резиновая манжета для M18FID2 + M18ONEID (1 шт.)";2900;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932478770;"Резиновый рукав для M18FIW2F+M18FIW2P ";2200;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932478771;"Резиновый рукав для M18FMTIW2F+M18FMTIW2P";2600;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932478760;"Резиновый рукав для M18ONEFHIWF1";5600;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932479099;"Резиновая манжета для M12FHIR14 + R38 1 шт.";2000;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932479101;"Резиновая манжета для M12FIR12 (1 шт.)";2000;dlya-instrumenta
"1_Электроинструмент";01_Дрели и шуруповерты;4932479097;"Резиновая манжета для M12FIR38LR (1 шт.)";2000;dlya-instrumenta
"1_Электроинструмент";02_Перфораторы и отбойные молотки;49902340;"Принадлежности для M12 DE- Пылесборник, фильтр, крышка";2500;dlya-instrumenta
"1_Электроинструмент";02_Перфораторы и отбойные молотки;49902342;"Принадлежности для M18/M28 для CDEX/CPDEX- Пылесборник, фильтр, крышка";1600;dlya-instrumenta
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4932378478;"Защитный щиток для рук AS12QE";100;dlya-instrumenta
"1_Электроинструмент";03_Шлифмашины;4932478759;"Резиновый рукав для M12FDGA  ";1300;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932459689;"Мешок флисовый для AS 30/42 (5шт)";4500;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932478814;"Фильтр HEPA для пылесоса сухой";1900;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932478754;"Фильтр HEPA для пылесоса сухой";2000;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932478762;"Флисовый фильтр-мешок 3.5 л 3 шт";1300;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932478802;"Фильтр для пылесоса для воды";2000;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932479620;"Пульт дистанционного управления RCO";4900;dlya-instrumenta
"1_Электроинструмент";04_Пылесосы и воздуходувки;4932478965;"Розетка с пультом дистанционного управления";12500;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479066;"Направляющая GR1400";12500;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479068;"Зажимы для направляющей";4500;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479069;"Коннектор для направляющей";5000;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479070;"Противоскольная лента для направляющей";2400;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479071;"Сумка для направляющей";5600;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479072;"Верхняя лента для направляющей";1900;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932478816;"Трубный зажим для сабельной пилы SPC-1";42700;dlya-instrumenta
"1_Электроинструмент";05_Пилы;4932479243;"Лезвия для трубореза по нержавеющей стали";2900;dlya-instrumenta
"1_Электроинструмент";08_Шлифовка;4932346182;"Пылесборник (тканевый) для виброшлифмашин 125/150мм";4700;dlya-instrumenta
"1_Электроинструмент";13_Нейлеры;4932471605;"Магазин удлиненный для гвоздезабивателя";7800;dlya-instrumenta
"1_Электроинструмент";21_Стенды и верстаки;4933478992;"Подставка для торцовочной пилы MSUV280";31600;dlya-instrumenta
"1_Электроинструмент";22_Лазеры;4932478108;"Мишень (для лазерного нивелира) HI-VIST";1100;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4932478104;"Детектор лазера (для лазерного нивелира) LLD50";16400;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4932478105;"Настенный адатпер (для лазерного нивелира) LM360";5500;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4932479555;"Детектор лазера для линейных и ротационнах нивелиров LRD100";31600;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4932478959;"Штатив 1.2 м TRP120";7500;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4932478106;"Штатив 1.8 м (для лазерного нивелира) TRP180";7600;izmeritelnyy-instrument
"1_Электроинструмент";23_Измерительные приборы;49771004;"Щупы для измерительных приборов";4400;izmeritelnyy-instrument
"1_Электроинструмент";38_Оборудование для хранения;4931411254;"Сумка строителя (саквояж) размер L";3300;sistemy-hraneniya-i-ekspluatacii
"1_Электроинструмент";38_Оборудование для хранения;4931411958;"Сумка строителя (саквояж) размер М";2700;sistemy-hraneniya-i-ekspluatacii
"1_Электроинструмент";39_Инструменты высокой мощности;4932472151;"Насадкадля расширителя труб (16мм, 6 и 10 бар) FPXPH16I-14";6500;dlya-instrumenta
"1_Электроинструмент";39_Инструменты высокой мощности;4932472152;"Насадкадля расширителя труб (20мм, 6 бар) FPXPH20I-1406";6500;dlya-instrumenta
"1_Электроинструмент";39_Инструменты высокой мощности;4932472153;"Насадкадля расширителя труб (20мм, 10 бар) FPXPH20I-1410";6500;dlya-instrumenta
"1_Электроинструмент";39_Инструменты высокой мощности;4932472271;"Насадкадля расширителя труб (25мм, 6 бар) FPXPH25I-1406";6500;dlya-instrumenta
"1_Электроинструмент";39_Инструменты высокой мощности;4932472272;"Насадкадля расширителя труб (25мм, 10 бар) FPXPH25I-1410";6500;dlya-instrumenta
"1_Электроинструмент";39_Инструменты высокой мощности;4932472273;"Насадкадля расширителя труб (32мм, 6 бар) FPXPH32I-1406";6500;dlya-instrumenta
"1_Электроинструмент";39_Инструменты высокой мощности;4932472150;"Насадкадля расширителя труб (9.9мм, 6 и 10 бар) FPXPH9.9I-14";6500;dlya-instrumenta
